idx,les,dk,en
13_Colors,8,sort, = black
13_Colors,9,farver, = colors
13_Colors,10,farverigt, = colorful
13_Colors,11,farverige, = colorful (plural)
13_Colors,12,brun, = brown
13_Colors,13,brune, = brown (definite noun/ or plural)
13_Colors,14,brunt, = brown (neuter et- word)
13_Colors,15,grå, = gray
13_Colors,16,lilla, = purple
13_Colors,17,orange, = orange
13_Colors,18,lys, = light
13_Colors,19,lyse, = bright
13_Colors,20,mørk, = dark
13_Colors,21,Lesson 1
13_Colors,22,lyseblåt, = light blue
13_Colors,23,mørkeblå, = dark blue
13_Colors,24,lysegrønt, = light green
13_Colors,25,lysegrønne, = light green
13_Colors,26,mørkegrøn, = dark green
13_Colors,27,mørkegrønne, = dark green
13_Colors,28,lyserød, = pink
13_Colors,29,lyserøde, = pink
13_Colors,30,mørkerød, = dark red
13_Colors,31,mørkerøde, = dark red
14_Questions,0,at, = that
14_Questions,1,fordi, = because
14_Questions,2,eller, = or
14_Questions,3,om, = if
14_Questions,4,hvis, = if
14_Questions,5,men, = but
14_Questions,6,når, = when
14_Questions,7,mens, = while/when
15_Prepositions_1,0,fra, = from
15_Prepositions_1,1,i, = in
15_Prepositions_1,10,efter, = after
15_Prepositions_1,11,under, = under
15_Prepositions_1,12,omkring, = around
15_Prepositions_1,13,som, = like/what
15_Prepositions_1,14,tilbage, = back
15_Prepositions_1,15,nær ved, = close/near to
15_Prepositions_1,16,før, = until
15_Prepositions_1,17,for, = for
15_Prepositions_1,18,mellem, = between
15_Prepositions_1,19,på, = on
15_Prepositions_1,2,ved = ,next to
15_Prepositions_1,3,rører ved, = touch/touches
15_Prepositions_1,4,med, = with
15_Prepositions_1,5,uden, = without
15_Prepositions_1,6,til, = to
15_Prepositions_1,7,om, = about
15_Prepositions_1,8,af, = off
15_Prepositions_1,9,bag, = behind
16_Conjunctions,0,hvad ,= what
16_Conjunctions,1,hvor, = where
16_Conjunctions,10,et, 
16_Conjunctions,11,svar, = an answer
16_Conjunctions,12,svaret, = the answer
16_Conjunctions,13,svarene, = the answers
16_Conjunctions,2,hvordan, = how
16_Conjunctions,3,hvem, = who
16_Conjunctions,4,hvis, = whose
16_Conjunctions,5,hvorfor, = why
16_Conjunctions,6,hvilke, = which
16_Conjunctions,7,hvornår, = when
16_Conjunctions,8,et spørgsmål, = a question
